Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.156,50.496,11.69231,4.166778,48.71926007718,96.4814244240732
1.0,16.0,3.935,62.96,11.63093,5.208377,60.57826830060999,96.21707163375157
1.0,16.0,4.714,75.424,11.56913,6.249924,72.30618324612,95.86628029025242
1.0,16.0,5.493,87.888,11.50869,7.291487,83.91546352203,95.48000127665892
1.0,16.0,6.273,100.368,11.44716,8.333069,95.38997413404,95.0402261019847
2.0,18.0,2.817,50.706,11.69296,4.166779,48.721980175839995,96.08720896114856
2.0,18.0,3.51,63.17999999999999,11.6315,5.208342,60.58082997300001,95.88608732668568
2.0,18.0,4.203,75.65400000000001,11.56943,6.249879,72.30753759897,95.57662198822268
2.0,18.0,4.895,88.10999999999999,11.5088,7.29146,83.915954848,95.23998961298379
2.0,18.0,5.588,100.584,11.44737,8.333095,95.39202171014999,94.83816681594487
3.0,20.0,2.548,50.96,11.6997,4.166812,48.7504503564,95.6641490510204
3.0,20.0,3.172,63.440000000000005,11.63719,5.208352,60.61058181088,95.5400091596469
3.0,20.0,3.796,75.92,11.5758,6.24992,72.347823936,95.29481551106427
3.0,20.0,4.42,88.4,11.51504,7.291448,83.96131537792,94.97886354968325
3.0,20.0,5.044,100.88,11.4532,8.333092,95.4405692944,94.60801872957971
4.0,22.0,2.324,51.128,11.67927,4.166796,48.66513551892,95.18294382514473
4.0,22.0,2.89,63.580000000000005,11.61729,5.208374,60.507191186460005,95.16701979625668
4.0,22.0,3.457,76.054,11.55487,6.249915,72.21695533604999,94.95484173883028
4.0,22.0,4.023,88.506,11.49358,7.291481,83.80522019198,94.68874448283732
4.0,22.0,4.59,100.97999999999999,11.4315,8.333117,95.26002698549999,94.33553870617945
5.0,24.01,2.143,51.45343,11.69658,4.16678,48.737075612400005,94.72075158526849
5.0,24.01,2.664,63.96264000000001,11.63365,5.208333,60.591923205449994,94.73017875036113
5.0,24.01,3.184,76.44784000000001,11.57141,6.249902,72.32017850182,94.60068263775665
5.0,24.01,3.704,88.93304,11.51058,7.291474,83.92909479491999,94.37335639816202
5.0,24.01,4.224,101.41824000000001,11.44832,8.333118,95.40020146176002,94.06611814774149
