Vout,Iout,Pout
24.17467,-0.0007588615,-0.018345226338204998
24.17515,-0.0005410684,-0.01308040973026
24.10001,0.5443278,13.118305423278
23.90072,2.049655,48.9882302516
23.69988,3.314795,78.5602437246
23.50047,3.527457,82.89689740479
23.29982,3.72395,86.767364689
23.10043,3.902521,90.14991318403
22.8997,4.064888,93.08471573359999
22.7003,4.208796,95.5409318388
22.49952,4.339459,97.63574455967999
22.40055,4.397361,98.50330494855
22.30021,4.453115,99.30539965415001
22.19983,4.505978,100.03194558373998
22.09941,4.555387,100.67136502166998
22.00047,4.601193,101.22840856071001
21.9001,4.643675,101.69694686749999
21.79967,4.683888,102.10721271695999
21.69932,4.722288,102.47043844416
21.60036,4.756801,102.74861404836
21.5,4.789926,102.98340900000001
21.39956,4.819975,103.14534421100001
21.30067,4.847444,103.25380498748001
21.20024,4.873825,103.326259718
21.09989,4.897663,103.34015055706999
20.99943,4.919963,103.31641862109001
20.90047,4.940416,103.25701639552
20.80016,4.959444,103.15722871104002
20.69973,4.977529,103.03350636716999
20.59933,4.993892,102.87082929235999
20.50048,5.009052,102.68797034496
20.40005,5.022858,102.46655434290001
20.29966,5.03577,102.22441883820001
20.20069,5.047561,101.96421501709001
20.10038,5.05895,101.68681740100001
19.99993,5.069127,101.38218516110999
19.00035,5.137536,97.61498213760001
17.99939,5.169062,93.03996287218
16.99978,5.184971,88.14336630638
16.00021,5.19317,83.0918105657
15.0006,5.198691,77.98348421460001
13.99953,5.201845,72.82338513284999
13.00007,5.204039,67.65287128272999
12.00052,5.205804,62.472355018079995
10.99944,5.207156,57.27579999264
7.50029,5.209429,39.07222823441
3.999649,5.210219,20.839047213131
0.5003892,5.210713,2.6073845094996
