Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.137,50.192,11.68784,4.166746,48.70026056864,97.02793387121453
1.0,16.0,3.916,62.656,11.62883,5.20835,60.56701673050001,96.66594856119129
1.0,16.0,4.696,75.136,11.57005,6.249924,72.3119331762,96.24139317530877
1.0,16.0,5.475,87.6,11.51061,7.291418,83.92866894498,95.80898281390412
1.0,16.0,6.255,100.08,11.45194,8.332993,95.42893585642001,95.35265373343327
2.0,18.0,2.796,50.327999999999996,11.68776,4.166739,48.69984541464,96.764913
2.0,18.0,3.489,62.802,11.62857,5.208332,60.56545324524,96.43873323340021
2.0,18.0,4.181,75.258,11.56998,6.249927,72.31153039146,96.08484199880411
2.0,18.0,4.875,87.75,11.51095,7.291445,83.93145882275,95.64838612279203
2.0,18.0,5.567,100.206,11.45219,8.332991,95.43099620029,95.23481248656766
3.0,20.0,2.525,50.5,11.69366,4.166774,48.72483845284,96.48482861948514
3.0,20.0,3.148,62.96,11.6344,5.208369,60.5962482936,96.24562943710292
3.0,20.0,3.773,75.46000000000001,11.57585,6.249888,72.34776600480001,95.87565068221573
3.0,20.0,4.397,87.94,11.51742,7.291419,83.97833501898,95.49503641002957
3.0,20.0,5.021,100.42,11.45858,8.333003,95.48438151574,95.08502441320454
4.0,22.0,2.298,50.556,11.67154,4.16678,48.6327394412,96.19578178890737
4.0,22.0,2.864,63.007999999999996,11.61301,5.208364,60.48478321564,95.99540251339513
4.0,22.0,3.431,75.482,11.55447,6.249903,72.21431671641,95.67091056995045
4.0,22.0,3.997,87.934,11.49593,7.291423,83.82168840839,95.32341120430095
4.0,22.0,4.564,100.408,11.4381,8.332953,95.3131497093,94.92585223219267
5.0,24.0,2.116,50.784000000000006,11.68658,4.166806,48.69571166348,95.88790103867359
5.0,24.0,2.636,63.264,11.62758,5.208374,60.56078535492,95.72708863638087
5.0,24.0,3.156,75.744,11.5689,6.249942,72.30495400379999,95.4596456535171
5.0,24.0,3.676,88.224,11.51061,7.291451,83.92904879511,95.13176550044206
5.0,24.0,4.196,100.704,11.45248,8.333007,95.43359600736,94.76644026787416
