Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.133,50.128,11.62568,4.16678,48.4416509104,96.63591388126397
1.0,16.0,3.91,62.56,11.56452,5.208349,60.232056177480004,96.27886217627878
1.0,16.0,4.688,75.008,11.5036,6.249921,71.8965912156,95.85189741840871
1.0,16.0,5.465,87.44,11.44348,7.291422,83.43924182855999,95.42456750750227
1.0,16.0,6.242,99.872,11.38259,8.332965,94.85072407935,94.97228860876923
2.0,18.0,2.788,50.184,11.60316,4.166792,48.34795426272,96.3413722754663
2.0,18.0,3.478,62.604000000000006,11.54192,5.208383,60.11473991536,96.02380026094178
2.0,18.0,4.168,75.024,11.48169,6.249909,71.75951766621,95.64874928850769
2.0,18.0,4.858,87.44399999999999,11.42104,7.291441,83.27583931864,95.23333712849367
2.0,18.0,5.547,99.84599999999999,11.36053,8.332988,94.66716016364,94.8131724492118
3.0,20.0,2.518,50.36,11.60487,4.166759,48.35469651633,96.0180629792097
3.0,20.0,3.139,62.779999999999994,11.54356,5.208359,60.12300461803999,95.76776778916852
3.0,20.0,3.761,75.22,11.48268,6.249919,71.76581990292,95.40789670688646
3.0,20.0,4.382,87.63999999999999,11.42359,7.291422,83.29421544498,95.04132296323597
3.0,20.0,5.003,100.06,11.3632,8.333022,94.68979559040001,94.63301578093144
4.0,22.0,2.289,50.358000000000004,11.56297,4.16682,48.180814655400006,95.67658496246872
4.0,22.0,2.852,62.744,11.50186,5.20835,59.905712531000006,95.47640018328447
4.0,22.0,3.416,75.152,11.44198,6.249886,71.51107061428,95.15524618676815
4.0,22.0,3.979,87.538,11.38145,7.291453,82.98730774685,94.80146650237612
4.0,22.0,4.542,99.92399999999999,11.32129,8.332982,94.34010578677999,94.41185879946758
5.0,24.0,2.11,50.64,11.58445,4.166751,48.26951862195,95.31895462470379
5.0,24.0,2.628,63.072,11.52287,5.208347,60.01510539589,95.15332539936897
5.0,24.0,3.146,75.50399999999999,11.46265,6.249883,71.64022136995,94.88268352663437
5.0,24.0,3.664,87.936,11.40287,7.291462,83.14359329594001,94.55011974156204
5.0,24.0,4.181,100.344,11.34287,8.332965,94.51973870955,94.19570548268955
