Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.153,50.448,11.6884,4.166806,48.703295250400004,96.54157796225817
1.0,16.0,3.932,62.912,11.62703,5.208343,60.55756031129,96.25756661891212
1.0,16.0,4.71,75.36,11.56554,6.249938,72.28390793652001,95.91813685843951
1.0,16.0,5.49,87.84,11.50546,7.291474,83.89176244804,95.50519404376138
1.0,16.0,6.269,100.304,11.4444,8.33307,95.366986308,95.07794934200031
2.0,18.0,2.814,50.652,11.6905,4.166801,48.7119870905,96.16991844448394
2.0,18.0,3.507,63.126000000000005,11.62898,5.208365,60.5679724177,95.94774327171054
2.0,18.0,4.2,75.60000000000001,11.56733,6.249893,72.29457479569,95.62774443874336
2.0,18.0,4.892,88.05600000000001,11.50742,7.291451,83.90578906642,95.28685048880257
2.0,18.0,5.585,100.53,11.44595,8.333089,95.38012003955,94.87727050586888
3.0,20.0,2.543,50.86,11.68705,4.166793,48.697518130649996,95.74816777556036
3.0,20.0,3.166,63.32,11.62446,5.208317,60.543872633819994,95.61571799403032
3.0,20.0,3.789,75.78,11.56322,6.249919,72.26918837918,95.36709999891791
3.0,20.0,4.413,88.26,11.50237,7.291477,83.86926630049001,95.02522807669386
3.0,20.0,5.037,100.74,11.44094,8.333086,95.33833694084,94.63801562521343
4.0,22.0,2.32,51.04,11.67763,4.166774,48.65804506562,95.33316039502353
4.0,22.0,2.886,63.492000000000004,11.61544,5.208338,60.497137538720004,95.2830869065709
4.0,22.0,3.453,75.966,11.55357,6.24987,72.2083105359,95.05345883145093
4.0,22.0,4.02,88.44,11.49289,7.291437,83.79968338293,94.75314719915197
4.0,22.0,4.587,100.91399999999999,11.43169,8.333089,95.26129019041,94.39848800999862
5.0,24.01,2.134,51.23734,11.66259,4.166795,48.59562169904999,94.84415408577024
5.0,24.01,2.653,63.698530000000005,11.60066,5.208355,60.4203555143,94.85361045898546
5.0,24.01,3.172,76.15972000000001,11.53869,6.249879,72.11541631851,94.68970778583481
5.0,24.01,3.691,88.62091,11.47743,7.2915,83.687680845,94.43333502781681
5.0,24.01,4.21,101.08210000000001,11.41548,8.333089,95.12621081772,94.10786956119826
