Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.151,50.416,11.67875,4.166751,48.66244324125,96.52182489933753
1.0,16.0,3.93,62.88,11.61762,5.208399,60.50920039038,96.22964438673665
1.0,16.0,4.708,75.328,11.55651,6.249921,72.22727453571,95.88370132714262
1.0,16.0,5.487,87.792,11.49581,7.291473,83.82138822813,95.47725103441088
1.0,16.0,6.266,100.256,11.43415,8.333089,95.28178958935,95.03849105225622
2.0,18.0,2.812,50.616,11.67797,4.166776,48.65948512471999,96.13459207507506
2.0,18.0,3.504,63.072,11.61596,5.208355,60.500043345799995,95.92218947520294
2.0,18.0,4.197,75.546,11.55424,6.249942,72.21332985408,95.58855512413628
2.0,18.0,4.889,88.00200000000001,11.49373,7.291452,83.80598059596,95.23190449757958
2.0,18.0,5.581,100.45800000000001,11.43258,8.333089,95.26870663961999,94.83436524678969
3.0,20.0,2.543,50.86,11.68317,4.166815,48.68160800355,95.71688557520645
3.0,20.0,3.166,63.32,11.62062,5.20834,60.5241399708,95.58455459696779
3.0,20.0,3.79,75.8,11.55844,6.249903,72.23912883131999,95.30228078010553
3.0,20.0,4.413,88.26,11.49805,7.29145,83.8374566725,94.98918725640154
3.0,20.0,5.037,100.74,11.4362,8.333101,95.29900965619998,94.59897722473694
4.0,22.0,2.318,50.996,11.66074,4.166794,48.58790146756001,95.27786780837714
4.0,22.0,2.884,63.448,11.59836,5.208311,60.40786596996,95.20846357640903
4.0,22.0,3.45,75.9,11.53701,6.249889,72.10503189189,95.00004201830038
4.0,22.0,4.016,88.352,11.47549,7.29148,83.6733058252,94.70448413754075
4.0,22.0,4.583,100.82600000000001,11.41374,8.333097,95.11180255278,94.33261515162755
5.0,24.01,2.138,51.33338,11.6768,4.166778,48.6546333504,94.78166711484808
5.0,24.01,2.658,63.818580000000004,11.61444,5.208345,60.492010501799996,94.78745923491245
5.0,24.01,3.178,76.30378,11.55171,6.249883,72.19683594992999,94.61764010895658
5.0,24.01,3.697,88.76497,11.49041,7.291453,83.78178446573,94.38608999217821
5.0,24.01,4.217,101.25017,11.42853,8.333104,95.23512905712,94.05922879647511
