Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.162,50.592,11.66461,4.166776,48.60381699735999,96.07016326170145
1.0,16.0,3.94,63.04,11.6014,5.208335,60.423977668999996,95.85021838356599
1.0,16.0,4.719,75.504,11.53884,6.249918,72.11680381512001,95.51388511220597
1.0,16.0,5.498,87.968,11.4764,7.29149,83.680055836,95.12556365496543
1.0,16.0,6.277,100.432,11.4133,8.333065,95.10777076449999,94.698672499303
2.0,18.0,2.82,50.76,11.64744,4.166781,48.53233169064,95.61137054893616
2.0,18.0,3.512,63.216,11.58304,5.208356,60.32859588224,95.43247893292838
2.0,18.0,4.204,75.672,11.52037,6.249895,72.00110286115,95.14893601484037
2.0,18.0,4.895,88.10999999999999,11.45721,7.291486,83.54008631406,94.81339951658157
2.0,18.0,5.587,100.566,11.39463,8.3331,94.952591253,94.41818432969391
3.0,20.0,2.553,51.06,11.65534,4.166793,48.565389124620005,95.11435394559342
3.0,20.0,3.176,63.52,11.59087,5.208322,60.36898322014,95.03933126596348
3.0,20.0,3.8,76.0,11.52755,6.249899,72.04602321745,94.79739897032896
3.0,20.0,4.423,88.46000000000001,11.4642,7.291488,83.5910767296,94.49590405787927
3.0,20.0,5.047,100.94,11.40072,8.333094,95.00327142767999,94.11855699195561
4.0,22.0,2.328,51.215999999999994,11.61867,4.166773,48.41236045191,94.52585217883083
4.0,22.0,2.893,63.645999999999994,11.55376,5.208354,60.17607211104,94.54808175068348
4.0,22.0,3.458,76.07600000000001,11.48993,6.24991,71.8110284063,94.39380146997738
4.0,22.0,4.023,88.506,11.42668,7.291489,83.31751152652,94.13769860407203
4.0,22.0,4.589,100.95800000000001,11.36274,8.333093,94.68676915482,93.788277456784
5.0,24.01,2.151,51.64551,11.64841,4.166782,48.53638511662,93.9798737908097
5.0,24.01,2.671,64.13071,11.58273,5.208335,60.32673805455,94.0684081847059
5.0,24.01,3.191,76.61591,11.51854,6.249896,71.98967707183999,93.96178557670332
5.0,24.01,3.711,89.10111,11.45408,7.291449,83.51684016192,93.73265962895412
5.0,24.01,4.231,101.58631,11.38939,8.333095,94.90886886205,93.42682971952618
