Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.148,50.368,11.66506,4.166811,48.60610032366,96.50194632238723
1.0,16.0,3.926,62.816,11.60387,5.20834,60.4369002758,96.21258958832144
1.0,16.0,4.704,75.264,11.54278,6.249937,72.14164780486,95.85146657746067
1.0,16.0,5.482,87.712,11.48229,7.291456,83.72261231424001,95.4517196213061
1.0,16.0,6.26,100.16,11.42088,8.333095,95.17127802360001,95.01924722803516
2.0,18.0,2.809,50.562000000000005,11.66332,4.166758,48.598231916559996,96.11611865938846
2.0,18.0,3.5,63.0,11.60111,5.208348,60.42261806628,95.90891756552381
2.0,18.0,4.192,75.456,11.53982,6.2499,72.12272101800001,95.58248650604327
2.0,18.0,4.884,87.912,11.47901,7.29146,83.6987422546,95.20741452202202
2.0,18.0,5.576,100.368,11.41748,8.333086,95.14284274328,94.79400082026143
3.0,20.0,2.539,50.78,11.6672,4.166834,48.6152856448,95.73707295155572
3.0,20.0,3.162,63.239999999999995,11.60472,5.208341,60.441338969520004,95.57453980000001
3.0,20.0,3.785,75.7,11.5431,6.249906,72.14328994860001,95.3015719268164
3.0,20.0,4.408,88.16000000000001,11.48223,7.291469,83.72232409587,94.96633858424454
3.0,20.0,5.032,100.64,11.42032,8.333073,95.16636024336,94.56116876327503
4.0,22.0,2.314,50.908,11.64343,4.1668,48.515844124000004,95.30102169403631
4.0,22.0,2.88,63.36,11.58098,5.208352,60.31782034496,95.19858008989898
4.0,22.0,3.445,75.78999999999999,11.5199,6.249922,71.9984764478,94.99733005383297
4.0,22.0,4.011,88.242,11.45795,7.29146,83.545184107,94.67734650959859
4.0,22.0,4.577,100.694,11.39653,8.333079,94.96818481587,94.31364809806941
5.0,24.01,2.134,51.23734,11.65752,4.166809,48.57465925368,94.80324164697073
5.0,24.01,2.653,63.698530000000005,11.59467,5.208331,60.38887919577001,94.80419594576202
5.0,24.01,3.173,76.18373000000001,11.533,6.249921,72.08033889299999,94.61382225968717
5.0,24.01,3.692,88.64492000000001,11.47091,7.291492,83.64004849772,94.35402333006786
5.0,24.01,4.211,101.10611000000002,11.40899,8.333118,95.07245993082,94.03235860900988
