Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.141,50.256,11.64003,4.166767,48.50129288301,96.50846243833573
1.0,16.0,3.918,62.688,11.57838,5.208389,60.30470702982,96.19816716089204
1.0,16.0,4.695,75.12,11.51749,6.249903,71.98319530347,95.824274898123
1.0,16.0,5.472,87.552,11.45624,7.291467,83.53279590407999,95.40935204687499
1.0,16.0,6.249,99.984,11.39445,8.333073,94.95078364485002,94.96597820136225
2.0,18.0,2.801,50.418000000000006,11.63457,4.166784,48.47874012288,96.15363585005353
2.0,18.0,3.492,62.856,11.57221,5.208343,60.27203894803,95.88907812783188
2.0,18.0,4.183,75.294,11.51119,6.249896,71.94374033624,95.55042943161473
2.0,18.0,4.873,87.714,11.45051,7.291459,83.49092419409,95.18540277959049
2.0,18.0,5.564,100.152,11.3889,8.333057,94.90435286729999,94.76031718517852
3.0,20.0,2.532,50.64,11.63536,4.166782,48.48200861152001,95.73856360884677
3.0,20.0,3.154,63.08,11.57312,5.208362,60.27699842944,95.55643378161065
3.0,20.0,3.776,75.52,11.51188,6.249905,71.9481563714,95.27033417823094
3.0,20.0,4.398,87.96,11.45067,7.2915,83.49256030500001,94.9210553717599
3.0,20.0,5.02,100.39999999999999,11.38907,8.333087,94.90611115909002,94.52799916244027
4.0,22.0,2.307,50.754,11.6089,4.1668,48.371964520000006,95.3067039445167
4.0,22.0,2.871,63.162,11.54612,5.208363,60.136384201560006,95.2097530185238
4.0,22.0,3.436,75.592,11.4845,6.249922,71.777229209,94.95347286617631
4.0,22.0,4.0,88.0,11.42274,7.291453,83.28837184122,94.64587709229545
4.0,22.0,4.565,100.43,11.36096,8.333081,94.67179991776,94.26645416485113
5.0,24.01,2.126,51.04526,11.61924,4.166806,48.41511894744,94.8474333315963
5.0,24.01,2.644,63.482440000000004,11.55651,5.208329,60.19010617179,94.8137881464386
5.0,24.01,3.163,75.94363,11.4943,6.249898,71.83820258140001,94.59411221375646
5.0,24.01,3.681,88.38081000000001,11.43309,7.291457,83.36388411213001,94.32351221054661
5.0,24.01,4.199,100.81799000000001,11.37109,8.333119,94.75664612971,93.98783503788361
