Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.162,50.592,11.64746,4.166774,48.53233349404,95.92886917702404
1.0,16.0,3.94,63.04,11.58054,5.208348,60.315482347919996,95.67811286154821
1.0,16.0,4.719,75.504,11.5137,6.249881,71.9592548697,95.3052220673077
1.0,16.0,5.497,87.952,11.44657,7.291451,83.46210427307,94.89506125280835
1.0,16.0,6.277,100.432,11.38237,8.33295,94.8487200915,94.44073611149832
2.0,18.01,2.82,50.7882,11.63205,4.166779,48.468181666949995,95.43197370048553
2.0,18.01,3.512,63.25112000000001,11.56482,5.208372,60.233884673039995,95.22975193647162
2.0,18.01,4.204,75.71404,11.49818,6.249899,71.86246368382,94.91299590382444
2.0,18.01,4.895,88.15895,11.4316,7.291451,83.3529512516,94.5484845856263
2.0,18.01,5.587,100.62187,11.3673,8.333006,94.7237791038,94.13836087900175
3.0,20.01,2.554,51.10554,11.63996,4.16681,48.5015017276,94.90458711051679
3.0,20.01,3.176,63.55176000000001,11.57281,5.208311,60.27479362391001,94.84362608354198
3.0,20.01,3.8,76.038,11.50564,6.249925,71.909387077,94.57032941029486
3.0,20.01,4.423,88.50423,11.4388,7.291435,83.405266678,94.23873489210628
3.0,20.01,5.046,100.97046000000002,11.37482,8.332981,94.78615893842,93.8751382715499
4.0,22.01,2.328,51.23928,11.60583,4.166776,48.35889390407999,94.3785586059757
4.0,22.01,2.893,63.67493,11.53886,5.208334,60.09823685924,94.38288641894069
4.0,22.01,3.458,76.11058000000001,11.47083,6.249887,71.69139129621,94.193726149781
4.0,22.01,4.023,88.54623,11.40646,7.291455,83.16968979929999,93.92798518841514
4.0,22.01,4.588,100.98188,11.33978,8.333008,94.49447745823998,93.57567660479285
5.0,24.01,2.151,51.64551,11.63426,4.16678,48.4774018828,93.86566592681532
5.0,24.01,2.671,64.13071,11.56604,5.208358,60.24007696231999,93.93327621403223
5.0,24.01,3.191,76.61591,11.49848,6.249892,71.86425816416,93.79808732175864
5.0,24.01,3.71,89.0771,11.43169,7.291461,83.35372179909,93.57480407320175
5.0,24.01,4.23,101.56230000000002,11.36702,8.333001,94.72138902702,93.26432054711243
