Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.144,50.304,11.71501,4.166774,48.81379907774,97.03760948978211
1.0,16.0,3.924,62.784,11.6559,5.208345,60.7079484855,96.69334302608945
1.0,16.0,4.705,75.28,11.59659,6.249889,72.47740027851,96.27709920099629
1.0,16.0,5.485,87.76,11.53813,7.29145,84.12969798850001,95.86337510084321
1.0,16.0,6.266,100.256,11.47935,8.332984,95.6572398804,95.41298264482924
2.0,18.0,2.803,50.454,11.71908,4.166752,48.830500028159996,96.78221752122724
2.0,18.0,3.496,62.928,11.65885,5.208346,60.72332476209999,96.49651150854945
2.0,18.0,4.19,75.42,11.60043,6.249913,72.50167826259,96.13057314053302
2.0,18.0,4.885,87.92999999999999,11.54242,7.291409,84.16050506978,95.71307297825544
2.0,18.0,5.579,100.422,11.48361,8.333003,95.69295658083,95.29082928126307
3.0,20.0,2.532,50.64,11.72731,4.166766,48.86495657946,96.49477997523697
3.0,20.0,3.157,63.14,11.668,5.208358,60.77112114399999,96.24821213810579
3.0,20.0,3.782,75.64,11.60972,6.249895,72.5595309794,95.927460311211
3.0,20.0,4.407,88.14,11.55107,7.291456,84.22411865792,95.55720292480146
3.0,20.0,5.033,100.66000000000001,11.49293,8.332991,95.77048225363,95.14254147986289
4.0,22.0,2.305,50.71,11.70873,4.166744,48.78728047511999,96.20840164685464
4.0,22.0,2.872,63.184,11.64968,5.208339,60.675482681519995,96.02982191934667
4.0,22.0,3.44,75.67999999999999,11.59121,6.249918,72.44411202078,95.72424949891649
4.0,22.0,4.008,88.176,11.53256,7.291421,84.08875016776,95.36466858074759
4.0,22.0,4.576,100.672,11.47409,8.333005,95.61364934045,94.9754145546428
5.0,24.0,2.124,50.976,11.72642,4.166767,48.86125988414,95.85149851722379
5.0,24.0,2.645,63.480000000000004,11.66698,5.208349,60.765703616020005,95.72417078768116
5.0,24.0,3.166,75.984,11.60821,6.249895,72.55009363795,95.48075073429933
5.0,24.0,3.687,88.488,11.55028,7.291474,84.21856631272,95.17512692423831
5.0,24.0,4.209,101.01599999999999,11.49188,8.332954,95.76130741352002,94.7981581269502
