Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.129,50.064,11.64859,4.166766,48.53694875994,96.94980177360979
1.0,16.0,3.906,62.496,11.59052,5.208349,60.36747325148,96.59413922727855
1.0,16.0,4.684,74.944,11.53142,6.249888,72.07008348096001,96.16524802647311
1.0,16.0,5.461,87.376,11.47272,7.291408,83.65228238976,95.73828326973081
1.0,16.0,6.238,99.808,11.41378,8.332979,95.11078905061999,95.29375305648844
2.0,18.0,2.788,50.184,11.64367,4.166774,48.516541420580005,96.67731033911208
2.0,18.0,3.478,62.604000000000006,11.58507,5.20836,60.3392151852,96.38236404255318
2.0,18.0,4.169,75.04199999999999,11.52645,6.249897,72.03912527565001,95.9984079257616
2.0,18.0,4.86,87.48,11.46754,7.291448,83.61497159791999,95.58181481243712
2.0,18.0,5.55,99.89999999999999,11.40947,8.333009,95.07521619523001,95.17038658181183
3.0,20.0,2.516,50.32,11.64519,4.166782,48.52296807858,96.42879188906996
3.0,20.0,3.138,62.76,11.58669,5.208319,60.34717767411001,96.15547749220843
3.0,20.0,3.76,75.19999999999999,11.52804,6.249902,72.04912025208,95.81000033521279
3.0,20.0,4.382,87.63999999999999,11.46979,7.291452,83.63142323507999,95.42608767124602
3.0,20.0,5.004,100.07999999999998,11.41197,8.332983,95.09575200651001,95.01973621753599
4.0,22.0,2.289,50.358000000000004,11.6194,4.166752,48.4151581888,96.14194008658008
4.0,22.0,2.853,62.766000000000005,11.56026,5.208341,60.209776128659996,95.92737489828886
4.0,22.0,3.418,75.196,11.50191,6.249894,71.88571829754001,95.59779549116976
4.0,22.0,3.983,87.626,11.44434,7.291457,83.44591300338,95.2296270551891
4.0,22.0,4.547,100.03399999999999,11.38596,8.333019,94.87942101324,94.8471729744287
5.0,24.0,2.106,50.544,11.62952,4.16678,48.4576513456,95.87221301361191
5.0,24.0,2.625,63.0,11.5707,5.208347,60.2642206329,95.65749306809523
5.0,24.0,3.143,75.43199999999999,11.51198,6.249907,71.94880438586,95.38233692048469
5.0,24.0,3.661,87.864,11.45424,7.291461,83.51814424464,95.05388355258125
5.0,24.0,4.179,100.296,11.39628,8.333029,94.96553173212,94.68526335259631
