Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.134,50.144,11.56537,4.166784,48.19039867007999,96.10401776898532
1.0,16.0,3.911,62.576,11.48932,5.208372,59.84065258703999,95.62875956762976
1.0,16.0,4.688,75.008,11.41372,6.249913,71.33475700636001,95.10286503620948
1.0,16.0,5.466,87.456,11.33713,7.291475,82.66439996675,94.52113058766693
1.0,16.0,6.243,99.888,11.25998,8.333009,93.82951467982001,93.93472156797613
2.0,18.0,2.789,50.202000000000005,11.54544,4.16679,48.1074239376,95.82770395123698
2.0,18.0,3.479,62.622,11.46934,5.208347,59.73630258098,95.3918791814059
2.0,18.0,4.169,75.04199999999999,11.39355,6.249908,71.2086392934,94.89171303190214
2.0,18.0,4.859,87.462,11.31698,7.291413,82.51677509274,94.34585887898744
2.0,18.0,5.549,99.882,11.24077,8.332962,93.66890926074,93.77956915233975
3.0,20.0,2.519,50.38,11.54889,4.166765,48.12151064085,95.51709138715759
3.0,20.0,3.14,62.800000000000004,11.47292,5.208347,59.75494846324,95.15119182044585
3.0,20.0,3.762,75.24,11.3978,6.249907,71.2351900046,94.67728602418927
3.0,20.0,4.383,87.66,11.32165,7.291414,82.55083731309999,94.1716145483687
3.0,20.0,5.004,100.07999999999998,11.24636,8.332985,93.7157491846,93.6408365153877
4.0,22.0,2.29,50.38,11.5076,4.166739,47.949165716399996,95.17500142199285
4.0,22.0,2.853,62.766000000000005,11.4329,5.208343,59.546464684700005,94.87057433116655
4.0,22.0,3.417,75.17399999999999,11.35713,6.249893,70.98084728709,94.42207051253094
4.0,22.0,3.98,87.56,11.28186,7.291438,82.26098271468,93.94813009899497
4.0,22.0,4.543,99.946,11.20624,8.333012,93.38173239487999,93.43218577519859
5.0,24.0,2.111,50.664,11.52956,4.166811,48.04149743316,94.82373565679772
5.0,24.0,2.629,63.096000000000004,11.45487,5.208362,59.66110962294,94.55608853642069
5.0,24.0,3.147,75.52799999999999,11.38008,6.249939,71.12480581512,94.17011679790276
5.0,24.0,3.664,87.936,11.30436,7.291445,82.42511920020002,93.73307769309498
5.0,24.0,4.182,100.36800000000001,11.2291,8.332988,93.57195555080001,93.2288732970668
